"Data Source","World Development Indicators",

"Last Updated Date","2025-07-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","Carbon intensity of GDP (kg CO2e per 2021 PPP $ of GDP)","EN.GHG.CO2.RT.GDP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0925827855384665","0.0965536017945054","0.101026046377969","0.0944466819096601","0.0991600449918969","0.106380278894447","0.0691298700788917","0.107121225975009","0.107542160300694","0.107619571066084","0.0755532040153876","0.0733033824389862","0.0808441727209526","0.0921680496546472","0.0876613047733433","0.0970530450485538","0.105672912106135","0.110683195732806","0.107856458528461","0.132526490989121","0.133347187792687","0.0776359285715047","0.101350199490519","0.104725487399313","0.113743807041532","0.119989581442876","0.123808082263538","0.111291200020925","0.108522853035612","0.132919924560067","0.146137433896209","0.130212244522369","0.120494829563077","0.121843448602056","",
"Africa Eastern and Southern","AFE","Carbon intensity of GDP (kg CO2e per 2021 PPP $ of GDP)","EN.GHG.CO2.RT.GDP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.365124347371747","0.356294472545055","0.358164052103925","0.361092360858087","0.363215051156089","0.365989674081605","0.359658118853754","0.359838632555024","0.359803600974242","0.339724726296909","0.334011092057432","0.331087098248716","0.328510522638674","0.335139268182501","0.341299606055685","0.33000634006046","0.314606908646348","0.307089206933273","0.309694142454116","0.292921008411227","0.285480978299306","0.270610789439744","0.271675469491564","0.270773263167613","0.269209252233619","0.254918760834231","0.250992614555939","0.247415143165986","0.243536177854183","0.241057158687434","0.218597661810749","0.219200527534586","0.205151451340375","0.198431354349248","",
"Afghanistan","AFG","Carbon intensity of GDP (kg CO2e per 2021 PPP $ of GDP)","EN.GHG.CO2.RT.GDP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0311999345890245","0.0320284738990674","0.0248422283213092","0.0244176672526338","0.0213278974614844","0.0271932430418441","0.0287047995628904","0.0359853944738386","0.066051216203498","0.0863406702353227","0.0966728646726975","0.140999288457186","0.107066143441007","0.0861522278486309","0.07907467140649","0.083130600806585","0.0733172103889419","0.0765361700831013","0.0743792074787976","0.0654167381940772","0.0651897107942923","0.0924685426083421","0.102715267697685","0.105878661774861","",
"Africa Western and Central","AFW","Carbon intensity of GDP (kg CO2e per 2021 PPP $ of GDP)","EN.GHG.CO2.RT.GDP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.147513505948063","0.153140898204967","0.162360940416464","0.161794144533836","0.156804336542489","0.167426693820614","0.185069333233972","0.176323495721616","0.163729167411626","0.163140473789797","0.1687510774241","0.170427195675052","0.146605683242578","0.150350391231278","0.138483231639776","0.132017386646826","0.119656215587539","0.110059887312974","0.110076795716321","0.0989435976323775","0.104246308131227","0.10600155004759","0.102704946983486","0.106927011104352","0.105935767809142","0.102831881614767","0.106482301988512","0.10419030538953","0.106726960816022","0.107602049495792","0.106456458750622","0.108020958018404","0.104755996240939","0.0989616735237424","",
"Angola","AGO","Carbon intensity of GDP (kg CO2e per 2021 PPP $ of GDP)","EN.GHG.CO2.RT.GDP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.130681963661316","0.135733901122036","0.148291757950166","0.195441959375447","0.18251512590373","0.178914812802173","0.190727400937791","0.185996224277496","0.184532364011056","0.191140155373955","0.169844720904419","0.159834609714771","0.138213496444215","0.146125623015293","0.134445332227668","0.103325047503145","0.0966618967830274","0.0886051541359605","0.0893456770604926","0.0977089280335399","0.100919509035433","0.101436593700367","0.0976668013608618","0.107430954162876","0.110940193603946","0.11776751122013","0.114269326354925","0.102207144214159","0.0973315383595687","0.102925958911813","0.0819295507808591","0.0987520139250208","0.103763275314611","0.105947564693218","",
"Albania","ALB","Carbon intensity of GDP (kg CO2e per 2021 PPP $ of GDP)","EN.GHG.CO2.RT.GDP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.363612643880983","0.332850293195753","0.193499498217473","0.166129699522985","0.161771723745073","0.12606116476489","0.116588287841768","0.101567544880584","0.113603715330217","0.163148461385588","0.158994746520008","0.155392869935792","0.173007833734943","0.172644117637562","0.171905212860256","0.153680141679923","0.144473114484019","0.139254536325156","0.128729239171817","0.127747026236313","0.132251558636749","0.141288202793484","0.127140833230176","0.131526037789958","0.137450924544702","0.128326279759236","0.115037848409624","0.131325008290616","0.125822892423319","0.115098799470222","0.109606161008645","0.111137056575383","0.0969668944902561","0.0929460987929631","",
"Andorra","AND","Carbon intensity of GDP (kg CO2e per 2021 PPP $ of GDP)","EN.GHG.CO2.RT.GDP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Carbon intensity of GDP (kg CO2e per 2021 PPP $ of GDP)","EN.GHG.CO2.RT.GDP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.269299809150809","0.280422419170126","0.281019460881692","0.291827780990651","0.300450005661605","0.300620466507839","0.293594332172772","0.291977974319647","0.280250403061105","0.275863587875691","0.269300842562676","0.278973304443708","0.284997637300726","0.283306720286049","0.274653856944589","0.279264474144786","0.27676046788734","0.274972349943843","0.279472511552849","0.285558767666939","0.289293026489077","0.285369982296036","0.295192443380128","0.2938292094448","0.296194253621418","0.294242489143021","0.287539127986518","0.286712054560322","0.276254534335764","0.273559024784125","0.271536978937111","0.272403281928065","0.26072304460481","0.26131899850598","",
"United Arab Emirates","ARE","Carbon intensity of GDP (kg CO2e per 2021 PPP $ of GDP)","EN.GHG.CO2.RT.GDP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.277343499017788","0.312848684330406","0.292433730517969","0.304457810309252","0.313570270999226","0.313492107525221","0.309664654608245","0.298290624397783","0.305101018595264","0.305665089342722","0.273588743063518","0.308864072466468","0.308253626360686","0.297828815781724","0.287312342096818","0.291738211203982","0.275880695841858","0.288274032152902","0.334574975812744","0.355419444109837","0.363812006455264","0.353099280001754","0.36194588787944","0.362966987270312","0.353779081785255","0.345885979639422","0.336543985580993","0.321554451006205","0.290654358396324","0.303738078659162","0.316101088694564","0.311950097025313","0.29819407139507","0.286516920882991","",
"Argentina","ARG","Carbon intensity of GDP (kg CO2e per 2021 PPP $ of GDP)","EN.GHG.CO2.RT.GDP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.179841306264809","0.173681374538894","0.163832601137863","0.156706504549819","0.152601250533536","0.15924118043331","0.164272253822039","0.157176831993703","0.159535744418986","0.167436210787093","0.164936165306459","0.165712197067092","0.175648188230279","0.175942859786917","0.178659169101303","0.168457400381496","0.164978670772537","0.161153892861494","0.16037706666798","0.156778216616206","0.15314506977375","0.150554617399391","0.155400034952895","0.15526429980423","0.156663583484278","0.157448735660313","0.159087944593166","0.152502917225681","0.155341410422439","0.153042200347736","0.157657073592127","0.159988196247474","0.154226620193749","0.148890709000679","",
