,gl,eu,cbam
PRT_FD+,0.0,0.0,0.0
PRT_FINser,0.0,0.0,0.0
PRT_MANfmp,0.0,-0.019999999999999966,0.0
PRT_MANfoo,-0.007197696737044116,0.00047619047619054737,0.00023815194093824453
PRT_MANmet,0.0004862630683199218,0.0,0.0
PRT_MANmin,0.0,0.031249999999999948,0.0
PRT_MANmot,-0.00013782077786047816,9.645194626253324e-05,6.889614594959953e-05
PRT_MANpap,-0.08695652173913045,-0.13636363636363646,-0.08695652173913045
PRT_MANpla,0.0,0.0004768717215069859,0.0004768717215069859
PRT_MANpri,0.0,0.0,0.0
PRT_MANwoo,0.001984126984127052,0.002973240832507421,0.001984126984127052
PRT_PROleg,-0.00010783996549117748,0.0,0.0
PRT_PUB+,-0.14285714285714288,0.0,0.0
PRT_TRAwar,0.0,0.0,0.0
PRT_TRDmot,0.00017861129716459977,0.014589063703377618,2.9772981019770205e-05
PRT_WATwst,0.0,0.0,0.0
ROU_ADM+,0.0,0.0,0.0
ROU_AGRagr,0.00024236548715455376,0.00024236548715455376,0.00024236548715455376
ROU_CNS+,0.0010082097076191364,0.009897221164826874,0.012106537530266338
ROU_ENRele,-0.04937363872202882,-0.0309241819197798,-0.058240881937352225
ROU_ENRoil,-0.012974640475434352,-0.0712435233160622,0.003525526597643671
ROU_FD+,0.0033532934131737125,0.0,0.006209696680200669
ROU_MANfoo,0.02188166521842171,0.016677255400254207,0.03955941669252248
ROU_MANmet,-0.01006795872136924,-0.9339759036144579,-0.053834033613445444
ROU_MANwoo,0.0,0.0,0.0
ROU_PROleg,-2.122646515678996e-05,4.245022710878005e-05,-0.001104972375690577
ROU_TRAinl,0.0893835883315583,0.10873820964584441,0.1086702262903636
ROU_TRDmot,0.003784254023488498,-0.006548299200140622,-0.0019029287604714273
RUS_CNS+,0.003977461054027163,-0.00021181312030984218,-0.003308444120682362
RUS_ENRcoa,-0.12682593617543006,0.058466266647153424,-0.01465161025770432
RUS_ENRele,-0.35158221704523396,-0.0005748778384594133,0.0001436162573602885
RUS_ENRgas,0.1423647004720596,-0.0017537818791176461,-0.03798052451561046
RUS_ENRoil,0.03948497074110417,-0.003958598078826319,-0.009953680702585769
RUS_HEA+,-0.002920655524906689,0.0,0.0
RUS_MANche,-0.012130033964095012,0.0009578544061304113,0.002391200382592198
RUS_MANfoo,-0.0007393715341959304,0.00024621445278841546,0.00012312238364930913
RUS_MANmet,-2.2943160735368524,0.02887471877291765,0.020854220974533766
RUS_MANpap,-10.600000000000001,-0.017543859649122903,-0.017543859649122903
RUS_MANpla,-0.0004863813229571591,-0.00024313153416001692,0.0
RUS_MANwoo,-3.5406427221172034,0.01192924722336476,-4.110638297872341
RUS_PROleg,-0.10125797855859206,-0.023883386417527956,-0.09455984478696704
RUS_PUB+,-0.06520208943059302,6.955312119642023e-05,-3.478018920415434e-05
RUS_RES+,0.07843942505133464,-0.0002228660574995104,-0.004026845637583876
RUS_TRAinl,-0.0809960405281303,0.05825955800380343,-0.0002786174999651888
RUS_TRDmot,-0.08657478253354126,-0.018449305311779667,-0.07782021368871916
RoW_AGRagr,0.030428279644252897,0.0022673110022506963,-0.005772342803757014
RoW_AGRfor,-0.00013884068031929034,3.4704147145637057e-05,3.4704147145637057e-05
RoW_CNS+,0.047782477756136914,-0.6681196452728093,-0.9509536784741145
RoW_COMcom,0.0,0.0,0.0
RoW_COMpub,0.39598903836571997,-0.17012548262548272,0.008587200981394363
RoW_COMvid,0.0027286084097111005,-0.00021051154304954503,-0.0003509018176714357
RoW_ENRcoa,0.18015161957270853,0.3841215604048562,0.6469401080311035
RoW_ENRele,0.042632663575476536,0.04866123995290022,0.03740060607630346
RoW_ENRgas,0.025264998840336145,0.013963177034949138,-0.17518780513611154
RoW_ENRoil,0.013319896552503131,0.02046651045460436,0.039967124125539946
RoW_FINser,0.050873014229199875,-0.0036972139477834463,0.046059944959552276
RoW_HEA+,0.0,0.0,0.0
RoW_MANche,0.07286673058485135,0.011247443762781218,0.011247443762781218
RoW_MANcom,-0.09185047116081586,-0.06779369221265395,-0.03193477984282165
RoW_MANfoo,9.694619486182149e-05,9.694619486182149e-05,-0.001942879347192651
RoW_MANmet,0.7919800572241164,-0.000370767075883622,-0.001856588827460966
RoW_MANpha,-0.5538702928870294,0.0013445378151260964,0.020764667106130587
RoW_MANtex,0.06278302677922507,-0.0019125029882859847,0.04107081569614447
RoW_MANwoo,0.0004889975550121854,0.0,0.0
RoW_MIN+,0.10537894621053778,0.2658422097851597,0.5159735282214869
RoW_PROleg,0.48635018090121696,0.0073100964085179194,0.02140992167101835
RoW_PUB+,0.16209070571486683,0.3333333333333333,0.3333333333333333
RoW_RES+,0.04428350334755588,-0.6601363494586124,-0.9249130300003444
RoW_TRAair,0.0,0.0,0.0
RoW_TRAwar,0.01195799105750226,-0.0006318449873630976,-0.014304013663535512
RoW_TRDmot,0.04741370583135623,-0.007994378906681757,-0.021495655915549094
SVK_CNS+,-0.00048812235600390297,-8.132064731232729e-05,0.0
SVK_ENRele,0.00028965916771256795,0.2798219378173471,0.15950970046269977
SVK_ENRoil,0.0004911591355599948,0.0,0.0004911591355599948
SVK_MANfmp,0.25487256371814093,-0.476968796433878,0.013725814453447987
SVK_MANfoo,0.0,0.0,0.0
SVK_MANmet,0.49017199017199015,-47.25581395348837,0.011434016198189676
SVK_MANmot,0.00018204457907642735,0.0003567450292312069,0.000283960595006614
SVK_MANwoo,-0.00048590864917391597,0.0,0.0
