,gl,eu,cbam
POL_RES+,-0.5260775480342121,1.466129768268049,-0.5495239011499439
POL_TRAinl,-1.5447846424944525,-1.4758843698395772,-1.2213586567380381
POL_TRAwar,0.0,0.0,0.0
POL_TRDmot,-0.1333924475697194,-0.009035322377263197,0.06412164267736106
PRT_ADM+,0.0,0.0,0.0
PRT_CNS+,-0.007040511208987963,0.004106964871909465,0.0023468370696619334
PRT_COMpub,0.0,0.0,0.0
PRT_ENRele,0.007804940173554879,0.4536047583217916,-0.0009182282557101486
PRT_ENRoil,0.0,-0.2843982294973084,-0.2843982294973084
PRT_FD+,0.0,0.0,0.0
PRT_FINser,0.0,0.0,0.0
PRT_MANfmp,0.0,-0.0010449958640033781,0.0
PRT_MANfoo,-1.2902127384317748,0.08601418256213153,0.043007091281045955
PRT_MANmet,0.0024073258951083144,0.0,0.0
PRT_MANmin,0.0,0.0018915842012994877,0.0
PRT_MANmot,-0.0031241648607114956,0.0021869154024989684,0.0015620824303557478
PRT_MANpap,-0.005019553883828303,-0.007529330825742459,-0.005019553883828303
PRT_MANpla,0.0,0.0010152749556556866,0.0010152749556556866
PRT_MANpri,0.0,0.0,0.0
PRT_MANwoo,0.0050170071194020486,0.0075255106791027844,0.0050170071194020486
PRT_PROleg,-0.0005568911552226786,0.0,0.0
PRT_PUB+,-0.0032380471588920067,0.0,0.0
PRT_TRAwar,0.0,0.0,0.0
PRT_TRDmot,0.004945744293296803,0.40987855830684566,0.0008242907155504799
PRT_WATwst,0.0,0.0,0.0
ROU_ADM+,0.0,0.0,0.0
ROU_AGRagr,0.0004300651371392425,0.0004300651371392425,0.0004300651371392425
ROU_CNS+,0.0006982774333868922,0.006916271721165794,0.00847908311969838
ROU_ENRele,-0.19921025256073407,-0.12700423238558747,-0.2330183426272366
ROU_ENRoil,-0.0170576401182043,-0.08856851599836868,0.004711725766916544
ROU_FD+,0.01679755460064873,0.0,0.031195458544061614
ROU_MANfoo,0.16034526376079772,0.1215613912988001,0.2952205217256559
ROU_MANmet,-0.022815358931747458,-1.1054041402431647,-0.11692871452520588
ROU_MANwoo,0.0,0.0,0.0
ROU_PROleg,-0.0001258003049279695,0.000251600609855939,-0.0065416158562442124
ROU_TRAinl,0.13522540503946898,0.16807877284330386,0.16796087798276388
ROU_TRDmot,0.008473286696190182,-0.014511720893475015,-0.004236643348094732
RUS_CNS+,0.04821653308210698,-0.0025569373604146517,-0.039815167469316175
RUS_ENRcoa,-0.474144613135356,0.2615947699869829,-0.06083142461023969
RUS_ENRele,-0.06259600554750636,-0.00013825732865271277,3.456433216316227e-05
RUS_ENRgas,1.12631311635212,-0.011878840708076242,-0.24827399008711637
RUS_ENRoil,0.3347663795848223,-0.032109961571076664,-0.08025949607664838
RUS_HEA+,-0.010649558373080476,0.0,0.0
RUS_MANche,-0.0126274115913278,0.0010101929273063823,0.002525482318265723
RUS_MANfoo,-0.0028185637510355147,0.0009395212503453158,0.00046976062517244143
RUS_MANmet,-6.1614051602740005,0.2630475664801237,0.18842494645842692
RUS_MANpap,-0.08906498684137554,-0.0016804714498372833,-0.0016804714498372833
RUS_MANpla,-0.002471332079818627,-0.0012356660399095983,0.0
RUS_MANwoo,-7.203762355860743,0.11153716407899603,-7.430682793124909
RUS_PROleg,-0.7138769784145191,-0.18110423268567474,-0.670734168366518
RUS_PUB+,-0.5798528714792734,0.0006589237175910936,-0.0003294618587943324
RUS_RES+,0.7780140915260552,-0.0020366861034719678,-0.03666034986248416
RUS_TRAinl,-0.15170604483647618,0.12525618051368514,-0.0005639629919571929
RUS_TRDmot,-0.5134116474912404,-0.1167278619924979,-0.4652431892450043
RoW_AGRagr,0.23823403731718673,0.017250561898759845,-0.04356711253263551
RoW_AGRfor,-0.0005523638526862348,0.00013809096317181322,0.00013809096317181322
RoW_CNS+,0.35296793841973184,-2.8172786609368066,-3.428586932809371
RoW_COMcom,0.0,0.0,0.0
RoW_COMpub,2.4670969165646293,-0.5471227826920618,0.03259454875612268
RoW_COMvid,0.018841575982831253,-0.0014493519986788477,-0.0024155866644656365
RoW_ENRcoa,0.16338204931584838,0.4637387585688357,1.3624337838511331
RoW_ENRele,0.0361266627718461,0.04149654738929273,0.031520786128426466
RoW_ENRgas,0.2170156409846515,0.1185630669763562,-1.2481158828544188
RoW_ENRoil,0.11675156543107278,0.1807019103925067,0.36004354150338946
RoW_FINser,0.42232928242079004,-0.02902417672527881,0.38044368141203444
RoW_HEA+,0.0,0.0,0.0
RoW_MANche,0.08011099440671249,0.011595012348340004,0.011595012348340004
RoW_MANcom,-0.41966219682280465,-0.31672588871824064,-0.15438080588870443
RoW_MANfoo,0.0003176096575535255,0.0003176096575535255,-0.006352193151072851
RoW_MANmet,2.4672113332023757,-0.00024018022518760226,-0.0012009011259381096
RoW_MANpha,-0.8946922707997903,0.0033793853476858206,0.05322531922605002
RoW_MANtex,0.09418931585848847,-0.002683934200776258,0.06022077362991503
RoW_MANwoo,0.0012039788554422102,0.0,0.0
RoW_MIN+,0.14776903667220387,0.4542586774526522,1.3372943571405789
RoW_PROleg,2.5375641253429757,0.019735338666441272,0.05863397719739764
RoW_PUB+,1.8321552791242377,4.7355581869459575,4.7355581869459575
RoW_RES+,0.3276940722404936,-2.8121959916448565,-3.3981729762015678
RoW_TRAair,0.0,0.0,0.0
RoW_TRAwar,0.055330855230833025,-0.0028868272294347744,-0.06447247479071055
RoW_TRDmot,1.0425335588840396,-0.16611815143839706,-0.4407625114483785
SVK_CNS+,-0.0021404756249174756,-0.0003567459374861363,0.0
SVK_ENRele,0.00012723056041224714,0.17061618151287647,0.08333601707004774
SVK_ENRoil,0.4787135538782472,0.0,0.4787135538782472
SVK_MANfmp,1.4979783321709632,-1.4142677783143502,0.06094715763244603
SVK_MANfoo,0.0,0.0,0.0
SVK_MANmet,0.7606515953028447,-0.7747589181229977,0.009150695883342544
SVK_MANmot,0.0008813887613453264,0.0017275219722375469,0.0013749664676992082
SVK_MANwoo,-1.1443442705426587,0.0,0.0
